,"Section1-Intorduction","Section1-Intorduction","<h2>Introduction<a name=""Introduction""></a></h2>
<p>
Joda Time is like an iceberg, 9/10ths of it is invisible to user-code.
Many, perhaps most, applications will never need to see what's below the surface.
This document provides an introduction to the Joda-Time API for the
average user, not for the would-be API developer.
</p>
<p>
The bulk of the
text is devoted to code snippets that display the most common usage scenarios
in which the library classes are used. In particular, we cover the usage of the
key <tt>DateTime</tt>, <tt>Interval</tt>, <tt>Duration</tt>
and <tt>Period</tt> classes.
</p>
<p>
We finish with a look at the important topic of formatting and parsing and a few
more advanced topics.
</p>","DateTime","DateTime","class",0
,"Section1-Intorduction","Section1-Intorduction","<h2>Introduction<a name=""Introduction""></a></h2>
<p>
Joda Time is like an iceberg, 9/10ths of it is invisible to user-code.
Many, perhaps most, applications will never need to see what's below the surface.
This document provides an introduction to the Joda-Time API for the
average user, not for the would-be API developer.
</p>
<p>
The bulk of the
text is devoted to code snippets that display the most common usage scenarios
in which the library classes are used. In particular, we cover the usage of the
key <tt>DateTime</tt>, <tt>Interval</tt>, <tt>Duration</tt>
and <tt>Period</tt> classes.
</p>
<p>
We finish with a look at the important topic of formatting and parsing and a few
more advanced topics.
</p>","Interval","Interval","class",0
,"Section1-Intorduction","Section1-Intorduction","<h2>Introduction<a name=""Introduction""></a></h2>
<p>
Joda Time is like an iceberg, 9/10ths of it is invisible to user-code.
Many, perhaps most, applications will never need to see what's below the surface.
This document provides an introduction to the Joda-Time API for the
average user, not for the would-be API developer.
</p>
<p>
The bulk of the
text is devoted to code snippets that display the most common usage scenarios
in which the library classes are used. In particular, we cover the usage of the
key <tt>DateTime</tt>, <tt>Interval</tt>, <tt>Duration</tt>
and <tt>Period</tt> classes.
</p>
<p>
We finish with a look at the important topic of formatting and parsing and a few
more advanced topics.
</p>","Duration","Duration","class",0
,"Section1-Intorduction","Section1-Intorduction","<h2>Introduction<a name=""Introduction""></a></h2>
<p>
Joda Time is like an iceberg, 9/10ths of it is invisible to user-code.
Many, perhaps most, applications will never need to see what's below the surface.
This document provides an introduction to the Joda-Time API for the
average user, not for the would-be API developer.
</p>
<p>
The bulk of the
text is devoted to code snippets that display the most common usage scenarios
in which the library classes are used. In particular, we cover the usage of the
key <tt>DateTime</tt>, <tt>Interval</tt>, <tt>Duration</tt>
and <tt>Period</tt> classes.
</p>
<p>
We finish with a look at the important topic of formatting and parsing and a few
more advanced topics.
</p>","Period","Period","class",0
,"Section3-Instants","Section3-Instants","<div class=""section""><h2>Instants<a name=""Instants""></a></h2>
<p>
The most frequently used concept in Joda-Time is that of the <i>instant</i>.
An Instant is defined as <i>a moment in the datetime continuum specified as a
number of milliseconds from 1970-01-01T00:00Z</i>.
This definition of milliseconds is consistent with that of the JDK in <tt>Date</tt>
or <tt>Calendar</tt>. Interoperating between the two APIs is thus simple.
</p>
<p>
Within Joda-Time an instant is represented by the
<tt>ReadableInstant</tt> interface. The main implementation
of this interface, and the class that the average API user needs to be
most familiar with, is <tt>DateTime</tt>. DateTime is immutable - and once
created the values do not change. Thus, this class can safely be passed around
and used in multiple threads without synchronization.
</p>
<p>
The millisecond instant can be converted to any date time field using a
<i><tt>Chronology</tt></i>.
To assist with this, methods are provided on
<tt>DateTime</tt> that act as getters for the most common date and
time fields.
</p>
<p>
We discuss the chronology concept a litte further on in this overview.
</p>
<p>
A companion mutable class to <tt>DateTime</tt> is
<tt>MutableDateTime</tt>. Objects
of this class can be modified and are not thread-safe.
</p>
<p>
Other implementations of <tt>ReadableInstant</tt> include <tt>Instant</tt>
and <tt>DateMidnight</tt>.
</p></div>","DateTime","DateTime	","class",1
,"Section3-Instants","Section3-Instants","<div class=""section""><h2>Instants<a name=""Instants""></a></h2>
<p>
The most frequently used concept in Joda-Time is that of the <i>instant</i>.
An Instant is defined as <i>a moment in the datetime continuum specified as a
number of milliseconds from 1970-01-01T00:00Z</i>.
This definition of milliseconds is consistent with that of the JDK in <tt>Date</tt>
or <tt>Calendar</tt>. Interoperating between the two APIs is thus simple.
</p>
<p>
Within Joda-Time an instant is represented by the
<tt>ReadableInstant</tt> interface. The main implementation
of this interface, and the class that the average API user needs to be
most familiar with, is <tt>DateTime</tt>. DateTime is immutable - and once
created the values do not change. Thus, this class can safely be passed around
and used in multiple threads without synchronization.
</p>
<p>
The millisecond instant can be converted to any date time field using a
<i><tt>Chronology</tt></i>.
To assist with this, methods are provided on
<tt>DateTime</tt> that act as getters for the most common date and
time fields.
</p>
<p>
We discuss the chronology concept a litte further on in this overview.
</p>
<p>
A companion mutable class to <tt>DateTime</tt> is
<tt>MutableDateTime</tt>. Objects
of this class can be modified and are not thread-safe.
</p>
<p>
Other implementations of <tt>ReadableInstant</tt> include <tt>Instant</tt>
and <tt>DateMidnight</tt>.
</p></div>","Chronology","Chronology	","class",1
,"Section3-Instants","Section3-Instants","<div class=""section""><h2>Instants<a name=""Instants""></a></h2>
<p>
The most frequently used concept in Joda-Time is that of the <i>instant</i>.
An Instant is defined as <i>a moment in the datetime continuum specified as a
number of milliseconds from 1970-01-01T00:00Z</i>.
This definition of milliseconds is consistent with that of the JDK in <tt>Date</tt>
or <tt>Calendar</tt>. Interoperating between the two APIs is thus simple.
</p>
<p>
Within Joda-Time an instant is represented by the
<tt>ReadableInstant</tt> interface. The main implementation
of this interface, and the class that the average API user needs to be
most familiar with, is <tt>DateTime</tt>. DateTime is immutable - and once
created the values do not change. Thus, this class can safely be passed around
and used in multiple threads without synchronization.
</p>
<p>
The millisecond instant can be converted to any date time field using a
<i>Chronology</i>.
To assist with this, methods are provided on
<tt>DateTime</tt> that act as getters for the most common date and
time fields.
</p>
<p>
We discuss the chronology concept a litte further on in this overview.
</p>
<p>
A companion mutable class to <tt>DateTime</tt> is
<tt>MutableDateTime</tt>. Objects
of this class can be modified and are not thread-safe.
</p>
<p>
Other implementations of <tt>ReadableInstant</tt> include <tt>Instant</tt>
and <tt>DateMidnight</tt>.
</p></div>","ReadableInstant","ReadableInstant","class",0
,"Section3-Instants","Section3-Instants","<div class=""section""><h2>Instants<a name=""Instants""></a></h2>
<p>
The most frequently used concept in Joda-Time is that of the <i>instant</i>.
An Instant is defined as <i>a moment in the datetime continuum specified as a
number of milliseconds from 1970-01-01T00:00Z</i>.
This definition of milliseconds is consistent with that of the JDK in <tt>Date</tt>
or <tt>Calendar</tt>. Interoperating between the two APIs is thus simple.
</p>
<p>
Within Joda-Time an instant is represented by the
<tt>ReadableInstant</tt> interface. The main implementation
of this interface, and the class that the average API user needs to be
most familiar with, is <tt>DateTime</tt>. DateTime is immutable - and once
created the values do not change. Thus, this class can safely be passed around
and used in multiple threads without synchronization.
</p>
<p>
The millisecond instant can be converted to any date time field using a
<i>Chronology</i>.
To assist with this, methods are provided on
<tt>DateTime</tt> that act as getters for the most common date and
time fields.
</p>
<p>
We discuss the chronology concept a litte further on in this overview.
</p>
<p>
A companion mutable class to <tt>DateTime</tt> is
<tt>MutableDateTime</tt>. Objects
of this class can be modified and are not thread-safe.
</p>
<p>
Other implementations of <tt>ReadableInstant</tt> include <tt>Instant</tt>
and <tt>DateMidnight</tt>.
</p></div>","MutableDateTime","MutableDateTime	","class",1
,"Section3-Instants","Section3-Instants","<div class=""section""><h2>Instants<a name=""Instants""></a></h2>
<p>
The most frequently used concept in Joda-Time is that of the <i><tt>Instant</tt></i>.
An Instant is defined as <i>a moment in the datetime continuum specified as a
number of milliseconds from 1970-01-01T00:00Z</i>.
This definition of milliseconds is consistent with that of the JDK in <tt>Date</tt>
or <tt>Calendar</tt>. Interoperating between the two APIs is thus simple.
</p>
<p>
Within Joda-Time an instant is represented by the
<tt>ReadableInstant</tt> interface. The main implementation
of this interface, and the class that the average API user needs to be
most familiar with, is <tt>DateTime</tt>. DateTime is immutable - and once
created the values do not change. Thus, this class can safely be passed around
and used in multiple threads without synchronization.
</p>
<p>
The millisecond instant can be converted to any date time field using a
<i>Chronology</i>.
To assist with this, methods are provided on
<tt>DateTime</tt> that act as getters for the most common date and
time fields.
</p>
<p>
We discuss the chronology concept a litte further on in this overview.
</p>
<p>
A companion mutable class to <tt>DateTime</tt> is
<tt>MutableDateTime</tt>. Objects
of this class can be modified and are not thread-safe.
</p>
<p>
Other implementations of <tt>ReadableInstant</tt> include <tt>Instant</tt>
and <tt>DateMidnight</tt>.
</p></div>","Instant","Instant	","class",1
,"Section3-Instants","Section3-Instants","<div class=""section""><h2>Instants<a name=""Instants""></a></h2>
<p>
The most frequently used concept in Joda-Time is that of the <i>instant</i>.
An Instant is defined as <i>a moment in the datetime continuum specified as a
number of milliseconds from 1970-01-01T00:00Z</i>.
This definition of milliseconds is consistent with that of the JDK in <tt>Date</tt>
or <tt>Calendar</tt>. Interoperating between the two APIs is thus simple.
</p>
<p>
Within Joda-Time an instant is represented by the
<tt>ReadableInstant</tt> interface. The main implementation
of this interface, and the class that the average API user needs to be
most familiar with, is <tt>DateTime</tt>. DateTime is immutable - and once
created the values do not change. Thus, this class can safely be passed around
and used in multiple threads without synchronization.
</p>
<p>
The millisecond instant can be converted to any date time field using a
<i>Chronology</i>.
To assist with this, methods are provided on
<tt>DateTime</tt> that act as getters for the most common date and
time fields.
</p>
<p>
We discuss the chronology concept a litte further on in this overview.
</p>
<p>
A companion mutable class to <tt>DateTime</tt> is
<tt>MutableDateTime</tt>. Objects
of this class can be modified and are not thread-safe.
</p>
<p>
Other implementations of <tt>ReadableInstant</tt> include <tt>Instant</tt>
and <tt>DateMidnight</tt>.
</p></div>","DateMidnight","DateMidnight","class",0
